पंच के पद पर बैठ कर न कोई किसी का दोस्त होता है,['महुझे इस बंदी गरह से मुत करो'],['महुझे इस बंदी गरह से मुत करो'],100.0
शीघ्र ही मानसून आने वाला है,['यहा तो सारे जन्मकी कमाई लुट गय'],['यहा तो सारे जन्मकी कमाई लुट गय'],116.66666666666667
गांव की चौपाल पर शाम की बैठक जमी थी,['गाम्दी की अपिल पर बालत की जंता ने'],['गाम्दी की अपिल पर बालत की जंता ने'],66.66666666666666
के बीच लोकप्रिय पार्टी बनाया,['मुलशी दी सम्बल उटे'],['मुलशी दी सम्बल उटे'],100.0
आज हम सब दुनिया के लिए मिसाल बन सके है,['अब वह जरा भी नराज़ नहीं था'],['अब वह जरा भी नराज़ नहीं था'],100.0
अवसाद और चिंता के इलाज में यह लाभकारी है,['शरहद पर मरने वाला'],['शरहद पर मरने वाला'],100.0
मैं फिर गलती पर था,['लम्बी गर्मियों के बाद मेटी भी बारीस की बूदों की रह देखती है'],['लम्बी गर्मियों के बाद मेटी भी बारीस की बूदों की रह देखती है'],260.0
इसी दौरान उन्हें एक अंग्रेज़ अधिकारी के घर से,['कुछ दूर दोड़ा और चाहा की जरा दम लेलूँ'],['कुछ दूर दोड़ा और चाहा की जरा दम लेलूँ'],100.0
की तरह साँझ होते ही बंद हो जाता है,['फिरुवंत पुड़म से नागर को भिल की जया थरा'],['फिरुवंत पुड़म से नागर को भिल की जया थरा'],100.0
इसके बाद उसने सिद्ध किया कि मुंशी सत्यनारायण की,['दिन भर सोच कर गुझार दियए गाडरन में बैटे हुए'],['दिन भर सोच कर गुझार दियए गाडरन में बैटे हुए'],111.11111111111111
आठ साल हुए इस गॉँव के विषय में,['बुड़ी माता नेतीइ दिनसेमू मैं पानी नहीं डाला'],['बुड़ी माता नेतीइ दिनसेमू मैं पानी नहीं डाला'],100.0
सेठ जी वकील को इस दुर्घटना का समाचार मिला तो,['इसे मत मारो वरना यह भी रोने लगेगा'],['इसे मत मारो वरना यह भी रोने लगेगा'],100.0
मछलियों ने दोनों की रस्सियाँ बाँध दी थीं,['बीथर चिराग जल राथा'],['बीथर चिराग जल राथा'],100.0
जुम्मन चकित थे कि अलगू को क्या हो गया,['यह नगर निगम को उनका जावाब था'],['यह नगर निगम को उनका जावाब था'],88.88888888888889
के मन में कपट का भाव न था,['छड़ों से लटके हुए है'],['छड़ों से लटके हुए है'],100.0
जितना दुष्कर समझते थे,['रोहोन के गर्में यहल लूबंता है और'],['रोहोन के गर्में यहल लूबंता है और'],175.0
थिरकती थी बुधगुप्त,['खूड़ जाए लेके खुशी'],['खूड़ जाए लेके खुशी'],133.33333333333331
कुछ दिन खालाजान ने सुना और सहा,['के अ रयों भानदुलन की सुड़वाथ के'],['के अ रयों भानदुलन की सुड़वाथ के'],100.0
मुखर्जी ज़्यादा देर नहीं रुका,['वे कितने भागे सालीे है'],['वे कितने भागे सालीे है'],100.0
स्त्रियॉँ क्रोध के बाद किसी न किसी बहाने रोया करती हैं,['ूझी पर गड़ों पानी पड़ गया'],['ूझी पर गड़ों पानी पड़ गया'],100.0
आप नीचे आ जाइये हम आपको पेड़ के ऊपर नहीं छोड़ सकते,['अपने आब को पहचाने'],['अपने आब को पहचाने'],100.0
सारे शहर में इस मुकदमें की धूम थी,['हम सब सारी राथ जादिन गे'],['हम सब सारी राथ जादिन गे'],100.0
और स्वर्गवासी पंडित भृगुदत्त का उस पर पूर्ण विश्वास हो जाना,['दीरे दिवे तादाजी ठी खोने लगे'],['दीरे दिवे तादाजी ठी खोने लगे'],100.0
